Title,Metascore,Awards,rate
Novocaine,45,0,6
One Night at McCool's,46,0,7
Ocean's Eleven,74,24,8
Osmosis Jones,57,8,7
Out Cold,22,0,7
Pootie Tang,31,0,6
The Princess Diaries,52,13,7
Rat Race,52,1,7
The Royal Tenenbaums,75,56,8
Rush Hour 2,48,32,7
Saving Silverman,22,0,6
Say It Isn't So,21,1,5
Scary Movie 2,29,5,6
See Spot Run,24,1,6
Series 7: The Contenders,55,7,7
Shallow Hal,48,3,6
Shrek,84,97,8
Sidewalks of New York,49,0,7
Spy Kids,71,12,6
Storytelling,50,1,7
Sugar & Spice,48,0,6
Summer Catch,21,0,5
Super Troopers,48,1,8
Tomcats,15,0,6
Town & Country,34,3,5
Two Can Play That Game,35,7,7
The Wash,18,0,5
The Wedding Planner,33,5,6
Wet Hot American Summer,42,1,7
What's the Worst That Could Happen?,37,0,6
Zoolander,61,10,7
40 Days and 40 Nights,53,3,6
About Schmidt,85,93,8
Adaptation.,83,155,8
The Adventures of Pluto Nash,12,7,4
All About the Benjamins,34,0,6
Analyze That,37,0,6
Austin Powers in Goldmember,62,26,7
Bad Company,37,0,6
The Banger Sisters,48,2,6
Barbershop,66,18,7
Big Fat Liar,36,4,6
Big Trouble,47,0,7
Bubba Ho-Tep,57,16,8
Brown Sugar,58,20,7
Cabin Fever,56,13,6
Cherish,51,2,7
Comedian,62,2,7
Confessions of a Dangerous Mind,67,18,8
The Country Bears,37,2,4
Crossroads,27,13,4
Death to Smoochy,38,2,7
Divine Secrets of the Ya-Ya Sisterhood,48,3,6
Eight Crazy Nights,23,3,6
Eight Legged Freaks,53,1,6
Friday After Next,35,0,6
The Good Girl,71,21,7
Hollywood Ending,46,0,7
The Hot Chick,29,4,6
I Spy,35,5,6
Igby Goes Down,72,24,7
Jackass: The Movie,42,8,7
Juwanna Mann,24,1,5
Life or Something Like It,31,1,6
Like Mike,47,7,6
Lilo & Stitch,73,38,8
Maid in Manhattan,45,8,5
The Master of Disguise,12,5,4
Men in Black II,49,16,7
Mr. Deeds,24,11,6
My Big Fat Greek Wedding,62,48,7
The New Guy,24,0,6
Orange County,48,3,7
Pumpkin,46,3,7
Punch-Drunk Love,78,48,8
Real Women Have Curves,71,11,7
Roger Dodger,75,26,7
The Santa Clause 2,48,4,6
